schedule_id,cnn,corridor,limits,weekday,scheduled_from_hour,scheduled_to_hour,citation_count,avg_citation_time,min_citation_time,max_citation_time,avg_distance_meters,min_distance_meters,max_distance_meters
2004826,2680000,Balboa St,35th Ave  -  36th Ave,Thursday,7,8,118,7.696751412429378,7.5,12.233333333333333,54.54122532626936,8.884520492448324,181.9425795977714
2004827,2681000,Balboa St,36th Ave  -  37th Ave,Monday,7,8,144,7.136574074074073,7.066666666666666,7.25,100.4100338257411,8.803182863308223,177.22951945910475
2004828,2681000,Balboa St,36th Ave  -  37th Ave,Thursday,7,8,126,7.738492063492063,7.5,12.233333333333333,78.90525332733299,8.745516932028115,178.8399021328149
2004829,2682000,Balboa St,37th Ave  -  38th Ave,Monday,7,8,109,7.135626911314985,7.066666666666666,7.25,94.6440817639939,8.791972200178478,176.07451134991507
2004830,2682000,Balboa St,37th Ave  -  38th Ave,Thursday,7,8,112,7.719196428571428,7.5,12.2,115.5047961202605,8.745516932028115,176.13047866143987
2004831,2683000,Balboa St,38th Ave  -  39th Ave,Wednesday,7,8,70,7.128333333333333,7.083333333333333,7.283333333333333,49.08352975421257,8.791972200178478,168.2277858262727
2004832,2683000,Balboa St,38th Ave  -  39th Ave,Thursday,7,8,52,7.785256410256411,7.516666666666667,12.2,89.68197366415461,10.010496312722251,173.08345783941576
2004833,2684000,Balboa St,39th Ave  -  40th Ave,Wednesday,7,8,89,7.121161048689138,7.083333333333333,7.283333333333333,65.48755892670775,8.916086197066738,164.07544626099588
2004834,2684000,Balboa St,39th Ave  -  40th Ave,Thursday,7,8,58,7.795114942528736,7.566666666666666,12.2,61.00410432831599,9.11382399886918,167.42883972537388
2004835,2685000,Balboa St,40th Ave  -  41st Ave,Wednesday,7,8,109,7.108409785932722,7.083333333333333,7.283333333333333,45.61323974153663,8.607029420964507,156.851302077658
2004836,2685000,Balboa St,40th Ave  -  41st Ave,Tuesday,7,8,71,7.772300469483567,7.533333333333333,12.2,33.8649998746849,9.11382399886918,155.0999973206322
2004837,2686000,Balboa St,41st Ave  -  42nd Ave,Wednesday,7,8,119,7.614425770308125,7.083333333333333,12.25,51.014752953041324,8.607029420964507,154.75346268664003
2004838,2686000,Balboa St,41st Ave  -  42nd Ave,Tuesday,7,8,85,8.897450980392156,7.533333333333333,12.2,50.38041883676172,9.063255284325711,156.42754211141903
2004839,2687000,Balboa St,42nd Ave  -  43rd Ave,Monday,11,13,49,9.770748299319727,7.083333333333333,12.25,50.38653055056869,8.632846742789713,145.08546986674054
2004840,2687000,Balboa St,42nd Ave  -  43rd Ave,Tuesday,11,13,54,10.703395061728397,7.533333333333333,12.166666666666666,41.46081040815575,9.063255284325711,148.5280118635841
2004841,2688000,Balboa St,43rd Ave  -  44th Ave,Monday,11,13,37,11.595495495495497,7.083333333333333,12.25,49.07909713724058,8.632846742789713,144.78332624609408
2004842,2688000,Balboa St,43rd Ave  -  44th Ave,Tuesday,11,13,52,12.014423076923078,7.766666666666667,12.166666666666666,50.917454381340306,8.774697851187197,139.698792394217
2004843,2689000,Balboa St,44th Ave  -  45th Ave,Monday,11,13,35,12.131904761904762,12.033333333333333,12.183333333333334,47.962199295284414,8.870976244755889,136.2365136026044
2004844,2689000,Balboa St,44th Ave  -  45th Ave,Tuesday,11,13,42,12.10793650793651,12.033333333333333,12.2,42.80241696110851,8.774697851187197,86.88116849239614
2004845,2690000,Balboa St,45th Ave  -  46th Ave,Monday,11,13,34,12.132352941176471,12.083333333333334,12.183333333333334,37.71499923444491,8.870976244755889,88.23448448276226
2004846,2690000,Balboa St,45th Ave  -  46th Ave,Tuesday,11,13,49,12.11734693877551,12.05,12.2,38.31063865518589,8.759042791637372,88.26878286930005
2004847,2691000,Balboa St,46th Ave  -  47th Ave,Monday,11,13,38,12.128070175438596,12.083333333333334,12.166666666666666,45.146628131195726,10.359488593709782,88.49596051640162
2004848,2691000,Balboa St,46th Ave  -  47th Ave,Tuesday,11,13,65,12.11897435897436,12.05,12.216666666666667,38.35703365393539,8.759042791637372,102.9217883271898
2004849,2692000,Balboa St,47th Ave  -  48th Ave,Monday,11,13,37,12.128378378378379,12.016666666666667,12.216666666666667,46.37033347888773,9.428708479119743,86.42278826260831
2004850,2692000,Balboa St,47th Ave  -  48th Ave,Tuesday,11,13,74,12.12454954954955,12.05,12.233333333333333,44.35188134457945,9.011007628732726,88.0934259065872
2004851,2693000,Balboa St,48th Ave  -  La Playa St,Monday,11,13,52,12.126923076923076,12.016666666666667,12.216666666666667,36.48303298505354,8.94432828379621,82.00490683538521
2004852,2693000,Balboa St,48th Ave  -  La Playa St,Tuesday,11,13,80,12.128958333333333,12.05,12.25,46.21901029258123,9.027526012408764,107.6028269458786
